,Unnamed: 0,ward code,total_room,Entire home/apt,Hotel room,Private room,Shared room,avg_price,avg_minimum_nights,avg_reviews_per_month,avg_availability_365,avg_star_rate,ward name,nonwork_rate,middle_high_class_pro,advanced_education_rate,public_transport_station_coverage,average_commute_distance,All Usual residents,unhealthy_rate,disabled_pro,average_crime,young_people,children_teenager,old_people,middle_aged,household_deprivation_rate,mean_rent_price
82,82,E05011117,225,107.0,0.0,117.0,1.0,105.41333333333333,5.0088888888888885,1.122848484848485,84.93333333333334,4.765537190082645,Surrey Docks,0.06,0.65,0.06,0.54,2.73,13152.0,0.03,0.11,82.46,0.1,0.13,0.07,0.7,0.41,1298.27
83,83,E05011217,11,4.0,0.0,7.0,0.0,88.81818181818181,2.1818181818181817,0.5771428571428572,259.45454545454544,4.475,Barnehurst,0.07,0.48,0.06,0.25,5.21,11718.0,0.04,0.15,45.5,0.11,0.2,0.17,0.52,0.51,1182.22
84,84,E05011218,62,30.0,0.0,32.0,0.0,90.33870967741936,3.725806451612903,1.0327906976744186,197.80645161290323,4.68258064516129,Belvedere,0.1,0.42,0.08,0.33,5.76,17563.0,0.04,0.14,120.12,0.11,0.21,0.13,0.55,0.55,1045.23
85,85,E05011219,31,12.0,0.0,19.0,0.0,88.09677419354838,1.967741935483871,2.748125,269.5806451612903,4.805714285714286,Bexleyheath,0.07,0.53,0.05,0.27,4.92,15927.0,0.04,0.15,151.17,0.1,0.18,0.22,0.5,0.51,1261.96
86,86,E05011220,20,13.0,0.0,7.0,0.0,93.2,10.95,1.2305882352941178,116.95,4.8307142857142855,Blackfen & Lamorbey,0.06,0.54,0.06,0.24,4.45,16132.0,0.04,0.14,50.17,0.11,0.18,0.19,0.52,0.46,1261.96
87,87,E05011221,16,7.0,0.0,9.0,0.0,78.3125,3.625,0.8041666666666667,240.5,4.852222222222222,Blendon & Penhill,0.06,0.55,0.06,0.22,4.46,15572.0,0.04,0.13,53.88,0.11,0.18,0.19,0.52,0.46,1249.96
88,88,E05011222,23,11.0,0.0,12.0,0.0,80.91304347826087,3.0,0.719,181.5217391304348,4.5600000000000005,Crayford,0.08,0.47,0.07,0.25,5.72,15946.0,0.05,0.17,109.88,0.11,0.19,0.15,0.55,0.53,1159.08
89,89,E05011223,24,5.0,0.0,19.0,0.0,73.375,2.0,1.315,204.95833333333331,4.890714285714286,Crook Log,0.07,0.54,0.06,0.28,4.45,15879.0,0.04,0.14,61.67,0.1,0.18,0.19,0.53,0.47,1304.3
90,90,E05011224,28,9.0,0.0,19.0,0.0,75.5,2.142857142857143,0.7614285714285715,192.6071428571429,4.630588235294118,East Wickham,0.09,0.47,0.06,0.32,5.1,16208.0,0.04,0.15,56.92,0.11,0.18,0.17,0.54,0.52,1236.71
91,91,E05011225,47,18.0,0.0,27.0,2.0,87.2127659574468,4.127659574468085,0.908125,200.61702127659572,4.724782608695652,Erith,0.1,0.43,0.08,0.34,6.47,12811.0,0.04,0.14,119.0,0.11,0.25,0.11,0.53,0.55,1045.23
92,92,E05011226,17,10.0,0.0,7.0,0.0,106.47058823529412,2.588235294117647,1.163846153846154,136.35294117647058,4.921428571428572,Falconwood & Welling,0.07,0.5,0.06,0.3,4.86,16595.0,0.03,0.12,80.5,0.1,0.19,0.16,0.55,0.48,1243.02
93,93,E05011227,11,2.0,0.0,9.0,0.0,89.36363636363636,2.0,0.384,113.8181818181818,4.817,Longlands,0.07,0.57,0.06,0.29,4.66,10047.0,0.05,0.15,27.83,0.1,0.16,0.21,0.53,0.46,1313.14
94,94,E05011228,9,2.0,0.0,7.0,0.0,85.88888888888889,2.0,0.3914285714285714,309.0,4.698,Northumberland Heath,0.09,0.45,0.07,0.25,5.19,11062.0,0.04,0.16,57.29,0.12,0.2,0.15,0.53,0.55,1075.72
95,95,E05011229,13,5.0,0.0,8.0,0.0,140.76923076923077,5.538461538461538,0.7966666666666667,178.76923076923077,4.855,St Mary's & St James,0.07,0.57,0.06,0.24,4.73,10855.0,0.04,0.15,51.79,0.1,0.18,0.21,0.51,0.47,
