ward code,ward name,Entire home/apt,Hotel room,Private room,Shared room,avg_price,avg_minimum_nights,avg_reviews_per_month,avg_availability_365,avg_star_rate,nonwork_rate,advanced_education_rate,public_transport_station_coverage,average_commute_distance,All Usual residents,unhealthy_rate,disabled_pro,average_crime,children_teenager,old_people,middle_aged,mean_rent_price
E05011483,Shirley South,4.0,0.0,7.0,0.0,110.0909090909091,1.3636363636363635,1.4111111111111112,232.1818181818182,4.86,0.1,0.08,0.31,4.83,10793.0,0.04,0.14,51.79,0.18,0.2,0.49,1223.5062202380952
E05011484,South Croydon,36.0,0.0,41.0,0.0,89.68831168831169,3.363636363636364,1.2650943396226415,147.32467532467533,4.762820512820513,0.08,0.06,0.42,4.18,17210.0,0.03,0.13,106.12,0.19,0.11,0.61,1204.53
E05011485,South Norwood,47.0,0.0,44.0,0.0,85.58241758241758,3.230769230769231,1.0315625,153.58241758241758,4.667234042553192,0.1,0.08,0.49,4.53,16529.0,0.04,0.14,129.42,0.19,0.11,0.59,1150.36
E05011486,Thornton Heath,32.0,0.0,66.0,0.0,74.66326530612245,3.377551020408163,0.9391549295774648,195.44897959183675,4.73,0.12,0.1,0.48,4.86,17980.0,0.04,0.14,134.04,0.19,0.11,0.57,1123.3
E05011487,Waddon,39.0,0.0,46.0,0.0,83.02352941176471,4.776470588235294,0.6586792452830188,174.1529411764706,4.667435897435897,0.1,0.09,0.39,4.61,18486.0,0.04,0.15,158.83,0.21,0.1,0.57,1179.26
E05011488,West Thornton,20.0,0.0,30.0,0.0,97.3,2.82,0.6656756756756756,145.22,4.458333333333333,0.14,0.11,0.4,5.06,18766.0,0.04,0.13,178.96,0.22,0.1,0.55,978.36
E05011489,Woodside,34.0,0.0,41.0,0.0,86.58666666666667,2.88,0.888,179.18666666666667,4.682391304347826,0.1,0.09,0.45,4.48,17067.0,0.04,0.14,102.42,0.19,0.09,0.6,2209.3
E05013496,Alperton,18.0,0.0,19.0,0.0,92.05405405405403,4.621621621621622,0.7184615384615385,125.54054054054056,4.673333333333333,0.14,0.09,0.41,4.83,15028.0,0.03,0.08,82.42,0.19,0.1,0.58,1017.64
E05013497,Barnhill,41.0,0.0,36.0,0.0,128.8961038961039,4.532467532467533,1.496065573770492,136.0,4.6378260869565215,0.15,0.12,0.46,4.76,11429.0,0.05,0.13,98.83,0.19,0.13,0.54,1008.77
E05013498,Brondesbury Park,162.0,0.0,106.0,2.0,145.42222222222222,4.311111111111111,0.9523267326732674,124.56666666666666,4.602455089820359,0.12,0.09,0.47,3.03,13609.0,0.05,0.14,81.67,0.15,0.13,0.6,1201.58
E05013499,Cricklewood & Mapesbury,99.0,0.0,68.0,0.0,106.38323353293411,3.970059880239521,0.9788617886178862,125.67664670658682,4.568470588235294,0.13,0.09,0.58,3.59,13960.0,0.04,0.12,104.33,0.16,0.11,0.61,1165.89
