,WD22NM,total_room,Entire home/apt,Hotel room,Private room,Shared room,avg_price,avg_minimum_nights,avg_reviews_per_month,avg_availability_365,avg_star_rate
60,Brixton North,208,112.0,0.0,96.0,0.0,105.76442307692308,4.475961538461538,0.8879518072289156,96.0576923076923,4.75968
61,Brixton Rush Common,254,146.0,0.0,107.0,1.0,114.94488188976378,4.003937007874016,0.8250485436893205,78.22834645669292,4.815403726708074
62,Brixton Windrush,171,108.0,0.0,62.0,1.0,114.3859649122807,3.415204678362573,1.0810489510489512,78.49707602339181,4.749915254237288
63,Broad Green,67,28.0,0.0,39.0,0.0,77.86567164179104,3.656716417910448,1.2853333333333334,211.0597014925373,4.514864864864865
64,Brockley,270,171.0,0.0,97.0,2.0,99.12222222222222,3.8333333333333335,0.7987142857142857,105.26296296296296,4.801096774193548
65,Bromley Common & Holwood,22,19.0,0.0,3.0,0.0,122.5909090909091,6.363636363636363,1.153125,177.95454545454547,4.846666666666667
66,Bromley North,134,85.0,0.0,49.0,0.0,105.3955223880597,4.462686567164179,0.9556190476190477,85.93283582089552,4.684342105263158
67,Bromley South,161,93.0,0.0,68.0,0.0,104.28571428571429,4.919254658385094,0.9124590163934427,96.7888198757764,4.7541758241758245
68,Bromley Town,63,36.0,0.0,27.0,0.0,103.85714285714286,2.9047619047619047,0.8652,167.53968253968253,4.842631578947369
69,Brompton & Hans Town,691,616.0,42.0,33.0,0.0,322.4949348769899,4.509406657018813,0.9188025210084034,165.96526772793052,4.538333333333333
70,Brondesbury Park,270,162.0,0.0,106.0,2.0,145.42222222222222,4.311111111111111,0.9523267326732674,124.56666666666666,4.602455089820359
71,Brook Green,188,131.0,1.0,55.0,1.0,159.74468085106383,5.101063829787234,1.03,91.84042553191489,4.6539090909090906
72,Brownswood,160,95.0,7.0,58.0,0.0,120.1625,3.9,0.6608333333333333,102.91875,4.825925925925926
73,Bruce Castle,45,21.0,0.0,23.0,1.0,103.44444444444444,4.444444444444445,0.9987878787878788,158.73333333333332,4.6196153846153845
74,Brunswick Park,47,15.0,0.0,32.0,0.0,87.25531914893617,4.872340425531915,0.4863888888888889,175.17021276595744,4.729285714285715
75,Bullsmoor,10,5.0,0.0,5.0,0.0,148.3,1.6,2.14125,207.1,4.836666666666667
76,Bunhill,377,249.0,8.0,120.0,0.0,188.0557029177719,5.9655172413793105,1.1331159420289856,122.05570291777188,4.700046948356808
77,Burnt Oak,55,27.0,0.0,27.0,1.0,95.0909090909091,3.8181818181818183,1.3607142857142858,152.25454545454545,4.503333333333334
78,Bush Hill Park,16,6.0,0.0,10.0,0.0,96.25,3.9375,0.7100000000000001,195.9375,4.86
79,Caledonian,423,240.0,0.0,181.0,2.0,133.24586288416074,3.713947990543735,1.3983433734939759,100.42316784869976,4.627027027027028
80,Camberwell Green,217,120.0,0.0,95.0,2.0,102.963133640553,4.142857142857143,1.3105780346820808,79.14285714285714,4.710071428571428
81,Camden Square,190,105.0,0.0,85.0,0.0,127.61578947368422,3.7157894736842105,1.1019496855345912,102.06315789473685,4.625538461538462
82,Camden Town,336,237.0,0.0,97.0,2.0,161.94345238095238,4.732142857142857,1.2775276752767526,105.09821428571429,4.651959798994975
83,Campden,243,205.0,0.0,37.0,1.0,234.34156378600824,4.839506172839506,1.51994708994709,116.50617283950618,4.685128205128205
84,Canary Wharf,472,358.0,0.0,113.0,1.0,195.59957627118644,9.302966101694915,0.9382539682539683,152.40254237288136,4.697547169811321
85,Canbury Gardens,38,25.0,0.0,13.0,0.0,103.34210526315789,3.6315789473684212,1.0024137931034482,115.23684210526316,4.793181818181818
86,Cann Hall,117,69.0,0.0,48.0,0.0,108.4957264957265,9.931623931623932,0.836551724137931,124.11111111111111,4.707424242424242
87,Canning Town North,105,50.0,0.0,53.0,2.0,100.73333333333333,3.6285714285714286,1.0177027027027028,124.01904761904763,4.706842105263158
88,Canning Town South,123,70.0,0.0,51.0,2.0,135.52032520325204,4.056910569105691,1.2588172043010752,124.13821138211382,4.6967567567567565
